0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.001785717,0.001785717,0.001785716,0.001785721,0.001785727,0.035283861,0.098047579,0.001785723,0.001785718,0.001785716,0.847025617,0.001785736,0.001785723,0.001785729
0.000655311,0.212665073,0.000655313,0.559458901,0.000655312,0.000655312,0.000655311,0.016869134,0.147633604,0.000655315,0.000655314,0.000655309,0.000655311,0.057475479
0.001661132,0.001661131,0.286709188,0.001661135,0.001661133,0.001661132,0.001661138,0.001661137,0.031574957,0.576559057,0.001661132,0.00166113,0.001661131,0.088545467
0.002463057,0.002463062,0.002463073,0.002463057,0.00246307,0.002463066,0.002463063,0.002463077,0.806415032,0.002463059,0.164028156,0.002463054,0.002463095,0.002463078
0.002232145,0.002232157,0.47461383,0.002232155,0.002232161,0.002232147,0.224494319,0.002232163,0.236867475,0.041702867,0.002232144,0.002232145,0.002232144,0.00223215
0.000768052,0.559304405,0.000768054,0.000768054,0.000768052,0.240959924,0.02271325,0.000768051,0.139291948,0.000768063,0.00076805,0.030817994,0.000768054,0.000768051
0.001400562,0.001400564,0.001400561,0.001400565,0.001400561,0.001400564,0.646655334,0.001400568,0.336537894,0.001400564,0.00140056,0.001400568,0.001400567,0.001400568
0.428863264,0.001700685,0.001700686,0.001700683,0.001700683,0.001700683,0.410128511,0.068704178,0.001700682,0.001700686,0.075297204,0.001700686,0.001700684,0.001700683
0.005952384,0.005952384,0.331496761,0.005952385,0.005952392,0.005952384,0.005952383,0.005952389,0.005952384,0.005952384,0.005952438,0.597074563,0.005952382,0.005952386
0.002747253,0.002747253,0.002747253,0.002747253,0.002747256,0.002747254,0.002747253,0.002747255,0.002747254,0.002747253,0.845885879,0.121147076,0.002747254,0.002747254
0.007629495,0.00042772,0.000427721,0.195166364,0.009982155,0.008048122,0.037523035,0.000427718,0.207983603,0.000427717,0.000427718,0.000427716,0.530673197,0.000427718
0.002164508,0.002164505,0.002164536,0.002164503,0.829090005,0.002164506,0.002164508,0.002164512,0.144935877,0.002164516,0.002164508,0.002164502,0.002164505,0.002164509
0.000965253,0.248193139,0.000965255,0.000965256,0.000965254,0.000965255,0.000965253,0.000965252,0.740223817,0.000965254,0.000965251,0.000965253,0.000965253,0.000965254
0.005102041,0.005102046,0.005102041,0.005102049,0.005102045,0.005102045,0.005102041,0.005102041,0.005102046,0.005102041,0.005102072,0.717272871,0.005102042,0.221502578
0.499762588,0.097983267,0.003571442,0.003571435,0.36296836,0.003571429,0.003571437,0.003571439,0.003571436,0.003571429,0.003571431,0.00357143,0.00357143,0.003571448
0.001231543,0.343411279,0.001231533,0.046711434,0.109871164,0.089017467,0.001231529,0.001231538,0.210398702,0.001231529,0.001231528,0.018807297,0.001231529,0.173161929
0.094598868,0.544218474,0.001552804,0.060940522,0.001552804,0.001552797,0.001552798,0.001552802,0.001552798,0.001552798,0.001552796,0.257804829,0.001552799,0.028462112
0.005952381,0.005952381,0.005952382,0.005952383,0.099597476,0.005952391,0.005952381,0.005952381,0.090702757,0.089637832,0.005952427,0.660538064,0.005952383,0.005952381
0.001831502,0.001831505,0.040564515,0.001831502,0.05280776,0.001831503,0.001831504,0.001831503,0.001831504,0.001831513,0.759366918,0.128945765,0.001831503,0.001831502
0.054790452,0.119170379,0.328641432,0.276650062,0.057716922,0.054691753,0.034184365,0.000525213,0.000525214,0.000525213,0.000525212,0.000525219,0.000525213,0.071003353
