,0,1,2,3,4,5,6,7,8,9,10,11,12,13,label,
431,,,,,,,,0.679640364,,,,,,,class8,0.4
432,,,,,0.912570349,,,,,,,,,,class5,0.4
433,,,,,,,,,0.82171514,,,,,,class9,0.4
434,,,,,0.934389857,,,,,,,,,,class5,0.4
435,,,,,,,,,,,0.503364936,,,,class11,0.4
436,,,,,,0.619938419,,,,,,,,,class6,0.4
437,,0.592454371,,,,,,,,,,,,,class2,0.4
438,,,,,,,,,,0.52270361,,,,,class10,0.4
439,,,,,0.983418354,,,,,,,,,,class5,0.4
440,,,,,,,,,,,,0.403442476,,,class12,0.4
441,,,,,,,,,,,,0.429237496,,,class12,0.4
442,,,,,,,0.64633351,,,,,,,,class7,0.4
443,,,,,,,,,,,,,0.426900656,,class13,0.4
444,0.929601241,,,,,,,,,,,,,,class1,0.4
445,,,,,,,,,,,0.818579047,,,,class11,0.4
446,,,,,0.856786612,,,,,,,,,,class5,0.4
447,,,,,,,,,,,,,,,NoClass,0.4
448,,,,,,,0.911137988,,,,,,,,class7,0.4
449,0.831980029,,,,,,,,,,,,,,class1,0.4
450,,,,,,,,,,0.681926159,,,,,class10,0.4
451,,,,,,,0.453079801,,,,,,,,class7,0.4
452,,,,,,,,,,,,0.437737099,,,class12,0.4
453,,,,,,,,,,,,,0.42049727,,class13,0.4
454,,,,,,,,,,,,,,0.510899658,class13,0.4
455,,,,,0.876005677,,,,,,,,,,class5,0.4
456,,,,,,,,,,,,,,,NoClass,0.4
457,,,0.5467516,,,,,,,,,,,,class3,0.4
458,,0.734732221,,,,,,,,,,,,,class2,0.4
459,,,,,,,,,,,,0.690941132,,,class12,0.4
460,,,,,,,0.541667901,,,,,,,,class7,0.4
461,,0.553657345,,,,,,,,,,,,,class2,0.4
462,,,,,,,,,,,,,,0.52943652,class13,0.4
463,,,,,0.960992633,,,,,,,,,,class5,0.4
464,,,,,,,0.40200652,,,,,,,,class7,0.4
465,,,,,,0.486227801,,,,,,,,,class6,0.4
466,,,,,,,0.550711743,,,,,,,,class7,0.4
467,,,,,0.791413977,,,,,,,,,,class5,0.4
468,,,,,,,,,,,,,0.965608448,,class13,0.4
469,,,,,,,,,,,,,,0.686087238,class13,0.4
470,,,,,,,0.466689359,,,,,,,,class7,0.4
471,,,,,,,,,,,,,,,NoClass,0.4
472,,,,,,,,,,,,,,,NoClass,0.4
473,0.955782256,,,,,,,,,,,,,,class1,0.4
474,,,0.768938779,,,,,,,,,,,,class3,0.4
475,,,,,,,,,,,,0.402853724,,,class12,0.4
476,,,,,,,,,,,,0.612330652,,,class12,0.4
477,,,,,0.880203674,,,,,,,,,,class5,0.4
478,,,,,,,,,,,0.427976405,,,,class11,0.4
479,,,,,,,,,,,,,0.970982122,,class13,0.4
480,0.773922615,,,,,,,,,,,,,,class1,0.4
481,,,,,,,,,,,,,,,NoClass,0.4
482,,,,0.624987447,,,,,,,,,,,class4,0.4
483,,,,,,,,,,0.401490877,0.419660452,,,,class10,0.4
484,,,,,,,,,,,,,,0.476629263,class13,0.4
485,,,,,,,,,,,,,,0.888993424,class13,0.4
486,,,,,,,,,,,,,,,NoClass,0.4
487,,,,,,,0.845935497,,,,,,,,class7,0.4
488,0.613955047,,,,,,,,,,,,,,class1,0.4
489,,0.719671862,,,,,,,,,,,,,class2,0.4
490,,,,,,,,,,,,,0.467720947,,class13,0.4
491,,,,,,,0.656411804,,,,,,,,class7,0.4
492,,,,,,,0.642486386,,,,,,,,class7,0.4
493,,,,,0.86682718,,,,,,,,,,class5,0.4
494,0.45190446,,,,,,,,,,,,,,class1,0.4
495,,,,,0.791596013,,,,,,,,,,class5,0.4
496,0.953571349,,,,,,,,,,,,,,class1,0.4
497,,,,,,,,,,,,0.65763376,,,class12,0.4
498,,0.424315216,,,,,,,,,,,,,class2,0.4
499,0.841729499,,,,,,,,,,,,,,class1,0.4
500,,,,,,,,,,,,,,0.891441792,class13,0.4
501,,,,,,,,,,,,,,,NoClass,0.4
